"Date", "Time", "O", "H", "L", "C", "U"
20220613,211000,1451.5000000,1453.5,1451.5,1453.5,5
20220613,213000,1454.0000000,1454,1454,1454,8
20220613,214000,1453.5000000,1458,1453.5,1458,24
20220613,215000,1455.0000000,1456,1454.5,1455.5,15
20220613,220000,1455.0000000,1455,1453.5,1453.5,14
20220613,221000,1452.5000000,1452.5,1452,1452,3
20220613,222000,1453.0000000,1453,1451,1451,28
20220613,223000,1452.0000000,1452,1450,1450,17
20220613,224000,1450.0000000,1451,1449,1450.5,9
20220613,225000,1450.0000000,1450,1446.5,1446.5,21
20220613,230000,1447.0000000,1449,1446.5,1449,20
20220613,231000,1447.5000000,1447.5,1446.5,1447,18
20220613,232000,1447.5000000,1449.5,1447.5,1449.5,18
20220613,233000,1449.5000000,1450,1448,1450,22
20220614,085000,1450.0000000,1455.5,1449.5,1451,222
20220614,090000,1451.0000000,1455,1451,1452.5,195
20220614,091000,1453.0000000,1455.5,1450,1455,607
20220614,092000,1454.5000000,1457,1453,1455.5,665
20220614,093000,1455.5000000,1460,1454.5,1459,382
20220614,094000,1459.5000000,1462.5,1459,1461,551
20220614,095000,1461.5000000,1464,1461,1462.5,314
20220614,100000,1463.0000000,1463,1460,1461,207
20220614,101000,1461.0000000,1462,1458,1462,369
20220614,102000,1462.5000000,1463.5,1462,1463,197
20220614,103000,1463.0000000,1465,1462.5,1464.5,219
20220614,104000,1464.5000000,1468,1464.5,1465.5,350
20220614,105000,1465.0000000,1469.5,1465,1469,237
20220614,110000,1468.5000000,1469.5,1468,1468.5,149
20220614,111000,1468.0000000,1469,1468,1468.5,126
20220614,112000,1468.5000000,1469,1466.5,1468,403
20220614,113000,1468.5000000,1468.5,1466,1466,147
20220614,114000,1466.5000000,1467,1465,1465.5,299
20220614,115000,1465.5000000,1465.5,1463.5,1464,187
20220614,120000,1464.0000000,1465.5,1463.5,1465.5,155
20220614,121000,1466.0000000,1468,1464.5,1467,140
20220614,122000,1467.5000000,1468,1466.5,1466.5,118
20220614,123000,1467.0000000,1467,1466,1466.5,101
20220614,124000,1466.0000000,1466.5,1464,1465,71
20220614,125000,1464.5000000,1465.5,1464.5,1465,47
20220614,144000,1467.5000000,1469,1466.5,1468.5,248
20220614,145000,1468.0000000,1472,1467.5,1472,259
20220614,150000,1472.0000000,1473,1471,1473,196
20220614,151000,1473.0000000,1475,1473,1474.5,155
20220614,152000,1475.0000000,1476,1473.5,1474.5,261
20220614,153000,1475.0000000,1475,1472.5,1472.5,171
20220614,154000,1473.0000000,1473.5,1472.5,1473.5,198
20220614,155000,1473.0000000,1474,1472,1472.5,195
20220614,160000,1472.5000000,1476,1472.5,1476,249
20220614,161000,1475.5000000,1478,1475,1477.5,417
20220614,162000,1477.5000000,1479,1477.5,1477.5,200
20220614,163000,1477.5000000,1477.5,1474,1474,180
20220614,164000,1474.0000000,1476.5,1472.5,1476.5,277
20220614,165000,1476.0000000,1478,1474.5,1477,259
20220614,170000,1476.5000000,1477,1473.5,1474.5,295
20220614,171000,1474.5000000,1474.5,1473,1473.5,180
20220614,172000,1473.0000000,1473.5,1473,1473.5,96
20220614,211000,1472.0000000,1472,1471.5,1471.5,6
20220614,212000,1471.0000000,1472.5,1471,1472.5,7
20220614,213000,1473.0000000,1473,1472,1472,7
20220614,214000,1472.0000000,1472,1470.5,1470.5,11
20220614,215000,1470.5000000,1470.5,1470,1470.5,14
20220614,220000,1470.0000000,1470.5,1469.5,1470.5,20
20220614,221000,1471.0000000,1472,1471,1471,15
20220614,222000,1471.0000000,1471,1470,1470,13
20220614,223000,1470.0000000,1470,1470,1470,5
20220614,224000,1470.0000000,1470.5,1470,1470.5,8
20220614,225000,1470.0000000,1470,1469,1469.5,18
20220614,230000,1470.0000000,1470.5,1470,1470,16
20220614,232000,1469.5000000,1469.5,1469.5,1469.5,4
20220614,233000,1469.5000000,1469.5,1469,1469.5,5
20220615,085000,1468.0000000,1473,1468,1472,167
20220615,090000,1472.5000000,1473.5,1469,1470,268
20220615,091000,1469.5000000,1469.5,1464.5,1466.5,572
20220615,092000,1466.5000000,1467,1455,1459,863
20220615,093000,1459.5000000,1461,1458.5,1459.5,445
20220615,094000,1459.0000000,1462.5,1457.5,1461,333
20220615,095000,1461.0000000,1462,1460.5,1461.5,122
20220615,100000,1461.5000000,1461.5,1457,1458,207
20220615,101000,1458.0000000,1458.5,1455.5,1456,274
20220615,102000,1456.0000000,1456,1452.5,1454,605
20220615,103000,1453.5000000,1455,1451.5,1453,322
20220615,104000,1453.5000000,1455.5,1453.5,1454.5,145
20220615,105000,1454.5000000,1455.5,1454.5,1455,94
20220615,110000,1455.0000000,1457.5,1454.5,1456,154
20220615,111000,1455.5000000,1455.5,1454.5,1455,67
20220615,112000,1455.0000000,1456.5,1454.5,1455,191
20220615,113000,1455.0000000,1455,1453,1453,217
20220615,114000,1453.5000000,1454.5,1453,1454,138
20220615,115000,1453.5000000,1454,1453,1453,130
20220615,120000,1454.0000000,1454,1453.5,1453.5,84
20220615,121000,1453.5000000,1454.5,1453.5,1454,97
20220615,122000,1454.0000000,1454.5,1453.5,1453.5,106
20220615,123000,1454.0000000,1455.5,1454,1455.5,124
20220615,124000,1455.0000000,1455,1453.5,1454,44
20220615,125000,1454.0000000,1454,1453,1453,66
20220615,144000,1455.0000000,1458,1455,1457.5,262
20220615,145000,1457.5000000,1458,1452.5,1453,351
20220615,150000,1453.0000000,1455,1452,1452.5,293
20220615,151000,1453.0000000,1453.5,1450.5,1450.5,326
20220615,152000,1450.5000000,1451,1449,1450.5,403
20220615,153000,1450.5000000,1453,1450,1453,278
20220615,154000,1453.0000000,1454,1451,1453,194
20220615,155000,1453.5000000,1454.5,1452.5,1452.5,84
20220615,160000,1453.5000000,1457.5,1453.5,1456,228
20220615,161000,1455.5000000,1457,1455,1455,109
20220615,162000,1455.0000000,1456.5,1454.5,1455.5,185
20220615,163000,1456.0000000,1457,1455,1456.5,113
20220615,164000,1457.0000000,1457,1454.5,1457,203
20220615,165000,1457.0000000,1457.5,1454,1454.5,146
20220615,170000,1454.0000000,1457.5,1453,1457.5,486
20220615,171000,1456.5000000,1456.5,1454.5,1455,92
20220615,172000,1455.0000000,1455.5,1454.5,1455,74
20220615,211000,1458.0000000,1458.5,1458,1458,9
20220615,212000,1458.5000000,1458.5,1457,1457,6
20220615,213000,1455.0000000,1455,1455,1455,1
20220615,214000,1455.5000000,1455.5,1454,1454,16
20220615,215000,1455.0000000,1455,1454,1454.5,23
20220615,220000,1455.0000000,1455.5,1455,1455.5,3
20220615,221000,1456.0000000,1457,1456,1456.5,12
20220615,222000,1456.5000000,1457,1455.5,1455.5,9
20220615,223000,1455.0000000,1455,1455,1455,9
20220615,230000,1455.0000000,1455,1455,1455,1
20220615,231000,1455.5000000,1455.5,1455.5,1455.5,3
20220615,232000,1455.5000000,1455.5,1455,1455,10
